Dataset,Feature Class,Field,Type,Length,Alias
BaseData,FC_Buildings,OBJECTID,ObjectID,4,OBJECTID
BaseData,FC_Buildings,Shape,Geometry,0,Shape
BaseData,FC_Buildings,BUILD_ID,Long,4,BUILD_ID
BaseData,FC_Buildings,OCC_CLS,Text,20,OCC_CLS
BaseData,FC_Buildings,PRIM_OCC,Text,35,PRIM_OCC
BaseData,FC_Buildings,SEC_OCC,Text,13,SEC_OCC
BaseData,FC_Buildings,PROP_ADDR,Text,80,PROP_ADDR
BaseData,FC_Buildings,PROP_CITY,Text,50,PROP_CITY
BaseData,FC_Buildings,PROP_ST,Text,50,PROP_ST
BaseData,FC_Buildings,PROP_ZIP,Text,50,PROP_ZIP
BaseData,FC_Buildings,OUTBLDG,Text,13,OUTBLDG
BaseData,FC_Buildings,HEIGHT,Float,4,HEIGHT
BaseData,FC_Buildings,SQMETERS,Float,4,SQMETERS
BaseData,FC_Buildings,SQFEET,Float,4,SQFEET
BaseData,FC_Buildings,H_ADJ_ELEV,Float,4,H_ADJ_ELEV
BaseData,FC_Buildings,L_ADJ_ELEV,Float,4,L_ADJ_ELEV
BaseData,FC_Buildings,FIPS,Text,13,FIPS
BaseData,FC_Buildings,CENSUSCODE,Text,20,CENSUSCODE
BaseData,FC_Buildings,PROD_DATE,Date,8,PROD_DATE
BaseData,FC_Buildings,SOURCE,Text,50,SOURCE
BaseData,FC_Buildings,USNG,Text,50,USNG
BaseData,FC_Buildings,LONGITUDE,Double,8,LONGITUDE
BaseData,FC_Buildings,LATITUDE,Double,8,LATITUDE
BaseData,FC_Buildings,IMAGE_NAME,Text,50,IMAGE_NAME
BaseData,FC_Buildings,IMAGE_DATE,Date,8,IMAGE_DATE
BaseData,FC_Buildings,VAL_METHOD,Text,50,VAL_METHOD
BaseData,FC_Buildings,REMARKS,Text,500,REMARKS
BaseData,FC_Buildings,UUID,Text,50,UUID
BaseData,FC_Buildings,STATE_FIPS,Text,255,STATE_FIPS
BaseData,FC_Buildings,B_CODE,Text,255,B_CODE
BaseData,FC_Buildings,POP_MEDIAN,Long,4,POP_MEDIAN
BaseData,FC_Buildings,PROP_CNTY,Text,255,PROP_CNTY
BaseData,FC_Buildings,GlobalID,Text,38,GlobalID
BaseData,FC_Buildings,POP_CI95_LOWER,Long,4,POP_CI95_LOWER
BaseData,FC_Buildings,POP_CI95_UPPER,Long,4,POP_CI95_UPPER
BaseData,FC_Buildings,BLDG_ID,Long,4,Building ID
BaseData,FC_Buildings,BLDG_TYPE,Text,50,Building Type
BaseData,FC_Buildings,AREA_SQFT,Double,8,Building Area (sq ft)
BaseData,FC_Buildings,EXPOSED_10YR,Text,20,Exposed 10-Year Flood
BaseData,FC_Buildings,EXPOSED_50YR,Text,20,Exposed 50-Year Flood
BaseData,FC_Buildings,EXPOSED_100YR,Text,20,Exposed 100-Year Flood
BaseData,FC_Buildings,EXPOSED_500YR,Text,20,Exposed 500-Year Flood
BaseData,FC_Buildings,DEPTH_100YR,Double,8,Flood Depth 100-Year (ft)
BaseData,FC_Buildings,DEPTH_CLASS,Text,20,Depth Classification
BaseData,FC_Buildings,HAZARD_CLASS,Text,20,Hazard Classification
BaseData,FC_Buildings,RISK_INDEX,Double,8,Flood Risk Index Score
BaseData,FC_Buildings_WS,OBJECTID,ObjectID,4,OBJECTID
BaseData,FC_Buildings_WS,Shape,Geometry,0,Shape
BaseData,FC_Buildings_WS,BUILD_ID,Long,4,BUILD_ID
BaseData,FC_Buildings_WS,OCC_CLS,Text,20,OCC_CLS
BaseData,FC_Buildings_WS,PRIM_OCC,Text,35,PRIM_OCC
BaseData,FC_Buildings_WS,SEC_OCC,Text,13,SEC_OCC
BaseData,FC_Buildings_WS,PROP_ADDR,Text,80,PROP_ADDR
BaseData,FC_Buildings_WS,PROP_CITY,Text,50,PROP_CITY
BaseData,FC_Buildings_WS,PROP_ST,Text,50,PROP_ST
BaseData,FC_Buildings_WS,PROP_ZIP,Text,50,PROP_ZIP
BaseData,FC_Buildings_WS,OUTBLDG,Text,13,OUTBLDG
BaseData,FC_Buildings_WS,HEIGHT,Float,4,HEIGHT
BaseData,FC_Buildings_WS,SQMETERS,Float,4,SQMETERS
BaseData,FC_Buildings_WS,SQFEET,Float,4,SQFEET
BaseData,FC_Buildings_WS,H_ADJ_ELEV,Float,4,H_ADJ_ELEV
BaseData,FC_Buildings_WS,L_ADJ_ELEV,Float,4,L_ADJ_ELEV
BaseData,FC_Buildings_WS,FIPS,Text,13,FIPS
BaseData,FC_Buildings_WS,CENSUSCODE,Text,20,CENSUSCODE
BaseData,FC_Buildings_WS,PROD_DATE,Date,8,PROD_DATE
BaseData,FC_Buildings_WS,SOURCE,Text,50,SOURCE
BaseData,FC_Buildings_WS,USNG,Text,50,USNG
BaseData,FC_Buildings_WS,LONGITUDE,Double,8,LONGITUDE
BaseData,FC_Buildings_WS,LATITUDE,Double,8,LATITUDE
BaseData,FC_Buildings_WS,IMAGE_NAME,Text,50,IMAGE_NAME
BaseData,FC_Buildings_WS,IMAGE_DATE,Date,8,IMAGE_DATE
BaseData,FC_Buildings_WS,VAL_METHOD,Text,50,VAL_METHOD
BaseData,FC_Buildings_WS,REMARKS,Text,500,REMARKS
BaseData,FC_Buildings_WS,UUID,Text,50,UUID
BaseData,FC_Buildings_WS,STATE_FIPS,Text,255,STATE_FIPS
BaseData,FC_Buildings_WS,B_CODE,Text,255,B_CODE
BaseData,FC_Buildings_WS,POP_MEDIAN,Long,4,POP_MEDIAN
BaseData,FC_Buildings_WS,PROP_CNTY,Text,255,PROP_CNTY
BaseData,FC_Buildings_WS,GlobalID,Text,38,GlobalID
BaseData,FC_Buildings_WS,POP_CI95_LOWER,Long,4,POP_CI95_LOWER
BaseData,FC_Buildings_WS,POP_CI95_UPPER,Long,4,POP_CI95_UPPER
BaseData,FC_Buildings_WS,BLDG_ID,Long,4,Building ID
BaseData,FC_Buildings_WS,BLDG_TYPE,Text,50,Building Type
BaseData,FC_Buildings_WS,AREA_SQFT,Double,8,Building Area (sq ft)
BaseData,FC_Buildings_WS,EXPOSED_10YR,Text,20,Exposed 10-Year Flood
BaseData,FC_Buildings_WS,EXPOSED_50YR,Text,20,Exposed 50-Year Flood
BaseData,FC_Buildings_WS,EXPOSED_100YR,Text,20,Exposed 100-Year Flood
BaseData,FC_Buildings_WS,EXPOSED_500YR,Text,20,Exposed 500-Year Flood
BaseData,FC_Buildings_WS,DEPTH_100YR,Double,8,Flood Depth 100-Year (ft)
BaseData,FC_Buildings_WS,DEPTH_CLASS,Text,20,Depth Classification
BaseData,FC_Buildings_WS,HAZARD_CLASS,Text,20,Hazard Classification
BaseData,FC_Buildings_WS,RISK_INDEX,Double,8,Flood Risk Index Score
BaseData,FC_Buildings_WS,DEPTH_TMP_1,Float,4,DEPTH_TMP_1
Hydrology,FC_Streams,OBJECTID,ObjectID,4,OBJECTID
Hydrology,FC_Streams,Shape,Geometry,0,Shape
Hydrology,FC_Streams,permanent_,Text,40,permanent_
Hydrology,FC_Streams,fdate,Date,8,fdate
Hydrology,FC_Streams,resolution,Long,4,resolution
Hydrology,FC_Streams,gnis_id,Text,10,gnis_id
Hydrology,FC_Streams,gnis_name,Text,65,gnis_name
Hydrology,FC_Streams,lengthkm,Double,8,lengthkm
Hydrology,FC_Streams,reachcode,Text,14,reachcode
