Dataset,FeatureClass,Field,Type,Length,Domain,Alias
BaseData,FC_Buildings,OBJECTID,OID,4,,OBJECTID
BaseData,FC_Buildings,Shape,Geometry,0,,Shape
BaseData,FC_Buildings,BUILD_ID,Integer,4,,BUILD_ID
BaseData,FC_Buildings,OCC_CLS,String,20,,OCC_CLS
BaseData,FC_Buildings,PRIM_OCC,String,35,,PRIM_OCC
BaseData,FC_Buildings,SEC_OCC,String,13,,SEC_OCC
BaseData,FC_Buildings,PROP_ADDR,String,80,,PROP_ADDR
BaseData,FC_Buildings,PROP_CITY,String,50,,PROP_CITY
BaseData,FC_Buildings,PROP_ST,String,50,,PROP_ST
BaseData,FC_Buildings,PROP_ZIP,String,50,,PROP_ZIP
BaseData,FC_Buildings,OUTBLDG,String,13,,OUTBLDG
BaseData,FC_Buildings,HEIGHT,Single,4,,HEIGHT
BaseData,FC_Buildings,SQMETERS,Single,4,,SQMETERS
BaseData,FC_Buildings,SQFEET,Single,4,,SQFEET
BaseData,FC_Buildings,H_ADJ_ELEV,Single,4,,H_ADJ_ELEV
BaseData,FC_Buildings,L_ADJ_ELEV,Single,4,,L_ADJ_ELEV
BaseData,FC_Buildings,FIPS,String,13,,FIPS
BaseData,FC_Buildings,CENSUSCODE,String,20,,CENSUSCODE
BaseData,FC_Buildings,PROD_DATE,Date,8,,PROD_DATE
BaseData,FC_Buildings,SOURCE,String,50,,SOURCE
BaseData,FC_Buildings,USNG,String,50,,USNG
BaseData,FC_Buildings,LONGITUDE,Double,8,,LONGITUDE
BaseData,FC_Buildings,LATITUDE,Double,8,,LATITUDE
BaseData,FC_Buildings,IMAGE_NAME,String,50,,IMAGE_NAME
BaseData,FC_Buildings,IMAGE_DATE,Date,8,,IMAGE_DATE
BaseData,FC_Buildings,VAL_METHOD,String,50,,VAL_METHOD
BaseData,FC_Buildings,REMARKS,String,500,,REMARKS
BaseData,FC_Buildings,UUID,String,50,,UUID
BaseData,FC_Buildings,STATE_FIPS,String,255,,STATE_FIPS
BaseData,FC_Buildings,B_CODE,String,255,,B_CODE
BaseData,FC_Buildings,POP_MEDIAN,Integer,4,,POP_MEDIAN
BaseData,FC_Buildings,PROP_CNTY,String,255,,PROP_CNTY
BaseData,FC_Buildings,GlobalID,String,38,,GlobalID
BaseData,FC_Buildings,POP_CI95_LOWER,Integer,4,,POP_CI95_LOWER
BaseData,FC_Buildings,POP_CI95_UPPER,Integer,4,,POP_CI95_UPPER
BaseData,FC_Buildings,BLDG_ID,Integer,4,,Building ID
BaseData,FC_Buildings,BLDG_TYPE,String,50,,Building Type
BaseData,FC_Buildings,AREA_SQFT,Double,8,,Building Area (sq ft)
BaseData,FC_Buildings,EXPOSED_10YR,String,20,ExposureStatus,Exposed 10-Year Flood
BaseData,FC_Buildings,EXPOSED_50YR,String,20,ExposureStatus,Exposed 50-Year Flood
BaseData,FC_Buildings,EXPOSED_100YR,String,20,ExposureStatus,Exposed 100-Year Flood
BaseData,FC_Buildings,EXPOSED_500YR,String,20,ExposureStatus,Exposed 500-Year Flood
BaseData,FC_Buildings,DEPTH_100YR,Double,8,,Flood Depth 100-Year (ft)
BaseData,FC_Buildings,DEPTH_CLASS,String,20,FloodDepthClass,Depth Classification
BaseData,FC_Buildings,HAZARD_CLASS,String,20,FloodHazardClass,Hazard Classification
BaseData,FC_Buildings,RISK_INDEX,Double,8,,Flood Risk Index Score
Hydrology,FC_Streams,OBJECTID,OID,4,,OBJECTID
Hydrology,FC_Streams,Shape,Geometry,0,,Shape
Hydrology,FC_Streams,permanent_,String,40,,permanent_
Hydrology,FC_Streams,fdate,Date,8,,fdate
Hydrology,FC_Streams,resolution,Integer,4,,resolution
Hydrology,FC_Streams,gnis_id,String,10,,gnis_id
Hydrology,FC_Streams,gnis_name,String,65,,gnis_name
Hydrology,FC_Streams,lengthkm,Double,8,,lengthkm
Hydrology,FC_Streams,reachcode,String,14,,reachcode
Hydrology,FC_Streams,flowdir,Integer,4,,flowdir
Hydrology,FC_Streams,wbarea_per,String,40,,wbarea_per
Hydrology,FC_Streams,ftype,Integer,4,,ftype
Hydrology,FC_Streams,fcode,Integer,4,,fcode
Hydrology,FC_Streams,mainpath,Integer,4,,mainpath
Hydrology,FC_Streams,innetwork,Integer,4,,innetwork
Hydrology,FC_Streams,visibility,Integer,4,,visibility
Hydrology,FC_Streams,SHAPE_Leng,Double,8,,SHAPE_Leng
Hydrology,FC_Streams,Enabled,Integer,4,,Enabled
Hydrology,FC_Streams,d_resoluti,String,254,,d_resoluti
Hydrology,FC_Streams,d_flowdir,String,254,,d_flowdir
Hydrology,FC_Streams,d_ftype,String,254,,d_ftype
Hydrology,FC_Streams,d_fcode,String,254,,d_fcode
Hydrology,FC_Streams,d_mainpath,String,254,,d_mainpath
Hydrology,FC_Streams,d_innetwor,String,254,,d_innetwor
Hydrology,FC_Streams,d_visibili,String,254,,d_visibili
Hydrology,FC_Streams,d_Enabled,String,254,,d_Enabled
Hydrology,FC_Streams,Shape_Length,Double,8,,Shape_Length
Hydrology,FC_Waterbodies,OBJECTID,OID,4,,OBJECTID
Hydrology,FC_Waterbodies,Shape,Geometry,0,,Shape
Hydrology,FC_Waterbodies,permanent_,String,40,,permanent_
Hydrology,FC_Waterbodies,fdate,Date,8,,fdate
Hydrology,FC_Waterbodies,resolution,Integer,4,,resolution
Hydrology,FC_Waterbodies,gnis_id,String,10,,gnis_id
Hydrology,FC_Waterbodies,gnis_name,String,65,,gnis_name
Hydrology,FC_Waterbodies,areasqkm,Double,8,,areasqkm
Hydrology,FC_Waterbodies,elevation,Double,8,,elevation
Hydrology,FC_Waterbodies,reachcode,String,14,,reachcode
Hydrology,FC_Waterbodies,ftype,Integer,4,,ftype
Hydrology,FC_Waterbodies,fcode,Integer,4,,fcode
Hydrology,FC_Waterbodies,visibility,Integer,4,,visibility
Hydrology,FC_Waterbodies,SHAPE_Leng,Double,8,,SHAPE_Leng
Hydrology,FC_Waterbodies,Shape_Length,Double,8,,Shape_Length
Hydrology,FC_Waterbodies,Shape_Area,Double,8,,Shape_Area
Infrastructure,FC_Roads,OBJECTID,OID,4,,OBJECTID
Infrastructure,FC_Roads,Shape,Geometry,0,,Shape
Infrastructure,FC_Roads,LINEARID,String,22,,LINEARID
Infrastructure,FC_Roads,FULLNAME,String,100,,FULLNAME
Infrastructure,FC_Roads,RTTYP,String,1,,RTTYP
Infrastructure,FC_Roads,MTFCC,String,5,,MTFCC
Infrastructure,FC_Roads,Shape_Length,Double,8,,Shape_Length
Infrastructure,FC_Roads,ROAD_CLASS,String,20,RoadClass,Road Classification
Infrastructure,FC_Roads,LENGTH_FT,Double,8,,Length (feet)
Infrastructure,FC_Roads,LENGTH_MI,Double,8,,Length (miles)
Infrastructure,FC_Roads,EXPOSED_100YR,String,20,ExposureStatus,Exposed 100-Year Flood
Infrastructure,FC_Roads,FLOOD_DEPTH,Double,8,,Max Flood Depth (ft)
Infrastructure,FC_Hospitals,OBJECTID,OID,4,,OBJECTID
Infrastructure,FC_Hospitals,Shape,Geometry,0,,Shape
Infrastructure,FC_Hospitals,PERMANENT_,String,40,,PERMANENT_
Infrastructure,FC_Hospitals,SOURCE_FEA,String,40,,SOURCE_FEA
Infrastructure,FC_Hospitals,SOURCE_DAT,String,40,,SOURCE_DAT
Infrastructure,FC_Hospitals,SOURCE_D_1,String,100,,SOURCE_D_1
Infrastructure,FC_Hospitals,SOURCE_ORI,String,130,,SOURCE_ORI
Infrastructure,FC_Hospitals,DATA_SECUR,Integer,4,,DATA_SECUR
Infrastructure,FC_Hospitals,DISTRIBUTI,String,4,,DISTRIBUTI
Infrastructure,FC_Hospitals,LOADDATE,Date,8,,LOADDATE
Infrastructure,FC_Hospitals,FTYPE,Integer,4,,FTYPE
Infrastructure,FC_Hospitals,FCODE,Integer,4,,FCODE
Infrastructure,FC_Hospitals,NAME,String,100,,NAME
Infrastructure,FC_Hospitals,ISLANDMARK,Integer,4,,ISLANDMARK
Infrastructure,FC_Hospitals,POINTLOCAT,Integer,4,,POINTLOCAT
Infrastructure,FC_Hospitals,ADMINTYPE,Integer,4,,ADMINTYPE
Infrastructure,FC_Hospitals,ADDRESSBUI,String,60,,ADDRESSBUI
Infrastructure,FC_Hospitals,ADDRESS,String,75,,ADDRESS
Infrastructure,FC_Hospitals,CITY,String,40,,CITY
Infrastructure,FC_Hospitals,STATE,String,2,,STATE
Infrastructure,FC_Hospitals,ZIPCODE,String,10,,ZIPCODE
Infrastructure,FC_Hospitals,GNIS_ID,String,10,,GNIS_ID
Infrastructure,FC_Hospitals,FOOT_ID,String,40,,FOOT_ID
Infrastructure,FC_Hospitals,COMPLEX_ID,String,40,,COMPLEX_ID
Infrastructure,FC_Hospitals,GLOBALID,String,38,,GLOBALID
Infrastructure,FC_Hospitals,FAC_TYPE,String,20,FacilityType,Facility Type
Infrastructure,FC_Hospitals,FAC_NAME,String,100,,Facility Name
Infrastructure,FC_Hospitals,EXPOSED_100YR,String,20,ExposureStatus,Exposed 100-Year Flood
Infrastructure,FC_Hospitals,DEPTH_100YR,Double,8,,Flood Depth 100-Year (ft)
Infrastructure,FC_Hospitals,HAZARD_CLASS,String,20,FloodHazardClass,Hazard Classification
Infrastructure,FC_Hospitals,PRIORITY,String,20,MitigationPriority,Mitigation Priority
Infrastructure,FC_FireStations,OBJECTID,OID,4,,OBJECTID
Infrastructure,FC_FireStations,Shape,Geometry,0,,Shape
Infrastructure,FC_FireStations,PERMANENT_,String,40,,PERMANENT_
Infrastructure,FC_FireStations,SOURCE_FEA,String,40,,SOURCE_FEA
Infrastructure,FC_FireStations,SOURCE_DAT,String,40,,SOURCE_DAT
Infrastructure,FC_FireStations,SOURCE_D_1,String,100,,SOURCE_D_1
Infrastructure,FC_FireStations,SOURCE_ORI,String,130,,SOURCE_ORI
Infrastructure,FC_FireStations,DATA_SECUR,Integer,4,,DATA_SECUR
Infrastructure,FC_FireStations,DISTRIBUTI,String,4,,DISTRIBUTI
Infrastructure,FC_FireStations,LOADDATE,Date,8,,LOADDATE
Infrastructure,FC_FireStations,FTYPE,Integer,4,,FTYPE
Infrastructure,FC_FireStations,FCODE,Integer,4,,FCODE
Infrastructure,FC_FireStations,NAME,String,100,,NAME
Infrastructure,FC_FireStations,ISLANDMARK,Integer,4,,ISLANDMARK
Infrastructure,FC_FireStations,POINTLOCAT,Integer,4,,POINTLOCAT
Infrastructure,FC_FireStations,ADMINTYPE,Integer,4,,ADMINTYPE
Infrastructure,FC_FireStations,ADDRESSBUI,String,60,,ADDRESSBUI
Infrastructure,FC_FireStations,ADDRESS,String,75,,ADDRESS
Infrastructure,FC_FireStations,CITY,String,40,,CITY
Infrastructure,FC_FireStations,STATE,String,2,,STATE
Infrastructure,FC_FireStations,ZIPCODE,String,10,,ZIPCODE
Infrastructure,FC_FireStations,GNIS_ID,String,10,,GNIS_ID
Infrastructure,FC_FireStations,FOOT_ID,String,40,,FOOT_ID
Infrastructure,FC_FireStations,COMPLEX_ID,String,40,,COMPLEX_ID
Infrastructure,FC_FireStations,GLOBALID,String,38,,GLOBALID
Infrastructure,FC_FireStations,FAC_TYPE,String,20,FacilityType,Facility Type
Infrastructure,FC_FireStations,FAC_NAME,String,100,,Facility Name
Infrastructure,FC_FireStations,EXPOSED_100YR,String,20,ExposureStatus,Exposed 100-Year Flood
Infrastructure,FC_FireStations,DEPTH_100YR,Double,8,,Flood Depth 100-Year (ft)
Infrastructure,FC_FireStations,HAZARD_CLASS,String,20,FloodHazardClass,Hazard Classification
Infrastructure,FC_FireStations,PRIORITY,String,20,MitigationPriority,Mitigation Priority
Infrastructure,FC_PoliceStations,OBJECTID,OID,4,,OBJECTID
Infrastructure,FC_PoliceStations,Shape,Geometry,0,,Shape
Infrastructure,FC_PoliceStations,PERMANENT_,String,40,,PERMANENT_
Infrastructure,FC_PoliceStations,SOURCE_FEA,String,40,,SOURCE_FEA
Infrastructure,FC_PoliceStations,SOURCE_DAT,String,40,,SOURCE_DAT
Infrastructure,FC_PoliceStations,SOURCE_D_1,String,100,,SOURCE_D_1
Infrastructure,FC_PoliceStations,SOURCE_ORI,String,130,,SOURCE_ORI
Infrastructure,FC_PoliceStations,DATA_SECUR,Integer,4,,DATA_SECUR
Infrastructure,FC_PoliceStations,DISTRIBUTI,String,4,,DISTRIBUTI
Infrastructure,FC_PoliceStations,LOADDATE,Date,8,,LOADDATE
Infrastructure,FC_PoliceStations,FTYPE,Integer,4,,FTYPE
Infrastructure,FC_PoliceStations,FCODE,Integer,4,,FCODE
Infrastructure,FC_PoliceStations,NAME,String,100,,NAME
Infrastructure,FC_PoliceStations,ISLANDMARK,Integer,4,,ISLANDMARK
Infrastructure,FC_PoliceStations,POINTLOCAT,Integer,4,,POINTLOCAT
Infrastructure,FC_PoliceStations,ADMINTYPE,Integer,4,,ADMINTYPE
Infrastructure,FC_PoliceStations,ADDRESSBUI,String,60,,ADDRESSBUI
